Job_title,cleaned_job
flutter developer,excellent work knowledge objective orient language kotlin java objectivec swift etc use restful apis integrate mobile application serverside system build moderately complex android app knowledge dart deep contribute manage highscale production mobile app json xml git version control system must previous flutter development 1 4 year qualification
java developer,design build maintain rest api web ui ensure performance quality application collaborate different team member client define design ship new feature work outside data source apis e identify correct bottleneck fix bug continuously discover evaluate implement new technology maximize development efficiency help maintain code quality organization automation knowledge spring willing work strut type fulltime salary 10000000 50000000 per year schedule monday friday java 3 year require location thane maharashtra require work remotely temporarily due covid19
javascript developer,must handson javascript nodejs database mysqlpostgre nosql database like mongodb understand microservice base design basic knowledge cloudstrong analytical problemsolve good communication desirable ui base technology javascript html 5 angular bootstrap shell scripting devop tool basic knowledge unixlinux feature category information technology 2 3 year
devops engineer,lead devop engineer qualification bachelors degree computer science equivalent high responsibility build release automation implement continuous integration solution small medium sized project per define target architecture operating model implement continuous deployment solution small medium sized project per define target architecture operating model develop packaging deployment documentation script final build use production deployment implement release automation solution per define target architecture operating model participate discovery phase small medium sized project come high level design infrastructure automation develop playbookscookbook configuration management install tool cloud infrastructure solve complex hyperviser issue problem configure complex networking configuration solve complex networking issue infrastructure automation configure complex storage setup log management solution configure listener develop complex search query instal log management tool perform admistrative activity log management tool develop custom script enable log management must devops employee status full time employee shift day travel post oct 15 2020 cognizant cognizant nasdaq100 ctsh one world lead professional service company transform client business operate technology model digital era unique industrybase consultative approach help client envision build run innovative efficient business headquarter we cognizant rank 194 fortune 500 consistently list among admired company world
ios developer,good swift objectivec language api integration auto layout experience health kit home kit smart home experience vision framework videoaudioimage editing process augment reality ar experience iot spritekit scenekit machine learn mac os app opengl es watch os tv os blockchain cryptocurrency 2 5 year qualification
wordpress developer,vacancy 5 05 2 year description must aware design website brief knowledge implementation new function feature capable manage technical aspect cms ensure highperformance availability applicant must confident motivated desire learn new thing guide website architecture expert php mysql javascript ajax css html must work wordpress php professional knowledge web framework like codeigniter need know make effective responsive design convert work theme
full stack developer,codespark codespark turn program play kid everywhere build large community young kid coder world awardwinne app codespark academy ha unique wordfree interface allow kid young four become maker strong focus make codespark academy exciting girl boy believe kid opportunity master new form literacy creative expression selfdirecte subscription service thoughtfully combine structured challenge openende creative play parent pay home use service free school library responsibility look talente experienced fullstack developer emphasis front end build robust internal tool customerface dashboard marketing site support code game app join small experienced team work across number department include engineering marketing analytic primary developer project requirement code responsive clean front end use react maintain nodeexpress server support front end work artist designer implement creative vision write unit test optimize technology design mobile desktop browser familiarity mongodb similar recommend user test iterative design methodology familiarity aw host scale monitor good practice work education edtech game kid entertainment field current example codespark website http codesparkcom codespark teacher dashboard http dashboardcodesparkcom codespark blog http blogcodesparkcom perk opportunity shape strategy company global impact k6 education rare opportunity change world helping create first generation history truly connect collaborative fun building effective multiaward win product beloved customer sharp motivated coworker creative supportive office environment value intellectual curiosity strong problem solve skill teach coach kid 59 deep love play silliness love game commitment diversity inclusion codespark belief diversity inclusion people gender race ethnicity sexual orientation educational background religion ability socioeconomic background immigration status hope close access gap computer science education aim create culture within codespark inclusive accessible current potential employee date codespark team 50 woman 50 people color
node js developer,prove software development php mvc mysql nodejsangularjs react js knowledge web technology include html css java script jquery etc good knowledge relational database version control tool develop web service common thirdparty apis google facebook etc good motivation team coordination type fulltime salary 1500000 5000000 per month location kakinada andhra pradesh require work remotely
php developer,summary look minimum 2 year php knowledge wordpress would added advantage basic understanding technology javascript html5 jquery css3 web apis analytical creative problemsolving type fulltime php 2 year require work remotely temporarily due covid19
backend developer,location panchkula haryana remote work summary look backend developer specialize serverside component role you ll primarily work nodejs bring depth knowledge basic algorithm datum structure backend developer give day might design new feature customer refactore exist code scalable debug api optimization requirement analysis feature estimation see change completion live environment responsibility work part team develop application service use agile development method effectively use tool ingenuity identify fix defect become problem design build configure application meet business process application requirement good handson node js framework like express hapi javascript framework like socketio knowledge understand request response proficiency restful apis implementation security like oauth 20 oauth 10 jwt basic auth data protection integration design datum storage solution like rdbms nosql db mysql mongodb redi dynamodb etc combine implement analytical creative problemsolving technique approach maintain high standard software quality within team establish good code practice habit knowledge code versione tool git good knowledge unit test available test framework good basic understanding frontend technology html5 css3 bootstrap 4 understand frontend framework like reactjs angular vuejs understanding difference multiple delivery platform mobile vs desktop optimize output match specific platform qualification criterion academic qualification relevant least 1 + yr special certification require work condition normal work hour employee jungle work click lab 0900 600 pm monday friday however depend upon project client requirement flexible timingswfh availed approval assign manager want avail indefinite period wfh option request time join case urgent project requirement employee click lab might work extended hour weekend type fulltime salary 80000000 per year schedule flexible shift total work 1 year require work remotely yes
full stack developer,centrica one world lead integrate energy company provide energy solution 240000 large energy customer north america alone within centrica distribute energy power de p global business serf customer grow need energy efficiency flexible onsite generation energy management optimization solution wwwcentricacomdistributedenergy de p north american technology product development team look talented selfstarting engineer join u bellevue wa office help enhance connect deploy realtime energy monitoring demand response virtual power plant distribute generation monitoring system full stack software engineer team take responsibility throughout software development lifecycle special emphasis early stage proof concept product design take multiple small medium sized project inception minimum viable product stage well provide support enhancement grow number micro service provide functionality global organization environment fastpace challenge require selfmanage learn quickly communicate clearly put use variety technical interpersonal skill position place intersection software energy work directly senior manager technology lead global organization come join u fast grow exciting industry
machine learning,phdata build nextgeneration strategic platform help customer save money unlock real business value customer community inspire innovation hard work passion datum want hear commitment work fastmove environment brightest experienced mind technology commit constant learn innovation work you ll help company answer question create product big expensive complex accomplish technology focus build deploy disruptive big datum technology passion hadoop support technology want hear addition phenomenal growth learn opportunity offer competitive compensation excellent perk include base salary annual bonus extensive training addition generous pto flexible hour comprehensive insurance cover passionate big datum datum science machine learn algorithm part team industry pioneer expert operate large analytic datum science infrastructure system phdata customer technologie terabytes data day petabytescale infrastructure information technical responsibility handson engineering datum processing application big datum technology assist customer build software solution onprem cloud strong understanding sql alongside traditionalconventional datum warehouse design pattern handson develop big datum application use hadoop technology spark scala pyspark map reduce java yarn hdfs hive impala sqoop oozie hbase kudu good understand unix shell scripting develop analytical functionality complex transformation finally deploy production datum platform good understand big datum design pattern handson troubleshoot optimize enhance big datum pipeline bring improvement good proficiency least one programming language java scala python extensive least one major hadoop platform cloudera hortonwork mapr work deploy least one datum engineering application use cloudnative datum platform service example emr redshift aw data factory azure bigquery gcp strong troubleshooting performance tune well verse continuous integration deployment procedure consider bigdata stack onprem cloud environment ability analyze business requirement user story translate system requirement specification work agile delivery methodology behavioral requirement demonstrate ability work independently good communication documentation good collaborative team player good organizational time management ability work deadline good eye detail must ready learn adapt new technology qualification requirement bebtech computer science mca sound industry 24 year minimum 2 year handson development java scala python production level code cloudbase environment paas iaas work iteratively team continuous collaboration
node js developer,look qualified developer responsible either develop new website maintain old website build nodejs knowledge nodejs framework expressjs sailsjs socketio strong loop meteorjs koajs hapijs must role responsibility task activity requirement gather businessstakeholder discussion clientbusiness team understand requirement ask relevant question clarify business requirement need document business rule estimation task planning divide project module task base business requirement srs estimate time modulestask base different estimation technique prepare project plan wb module task specific start end date seek approval stakeholder wb prepare project plan accordingly wellverse project management tool database creation update custom module identify modulestask prepare database design use mysql workbench discuss team member seek approval stakeholder code debug unit test documentation code application per good standard practice guideline code module within timeline mention wb debug unit test codemodule ability write testable code handle various testing tool example jestjasminemocha test runner like karmachutzpah use appropriate versioning tool like git svn etc document code application later share client prepare user manual custom modulecode need share client use training purpose well optimize website check benchmarke tool like wwwgtmetrixcom google page speed angular react js plus understand nature asynchronous programming include quirk workaround perform user authentication user authorization multiple system server environment understand difference multiple delivery platform mobile vs desktop optimize output match specific platform project deployment maintenance check deployment checklist put anything production update security patch whenever available mandatory knowledge minimum 2 year development nodejs expressjs mongodb good understanding html css javascript handson es6 es7 es8 feature thorough understand request lifecycle include event queue event loop worker thread etc familiarity security principle include ssl protocols data encryption xss csrf expertise web service rest apis beneficial proficiency linux deployment linux valuable knowledge orm like sequelize odm like mongoose ability handle db transaction necessity angular js react js add advantage expertise rdbms like mysql postgresql plus knowledge aw service like s3 ec2 helpful understanding agile cicd value technology framework tool proficiency languagesframework node js express js jquery javascript css ajax database mongodb mysql tool git what s opportunity grow scale high us work fun transparent atmosphere alongside collaborative team guidance support senior staff growth competitive salary benefit
node js developer,designation node developer 12 year qualification previous work nodejs developer x year ba computer science similar relevant field depth knowledge nodejs hand html css ajax development design object orient javascript svg applicable knowledge web librarie framework angularjs polymer closure familiarity whole web stack include protocol web server optimization technique strong analytical problem solve aptitude bachelors degree computer science information science user authentication authorization multiple system server environment integration multiple datum source database one system understand fundamental design principle behind scalable application understand difference multiple delivery platform mobile vs desktop optimize output match specific platform create database schema represent support business process implement automate testing platform unit test proficient understanding code versioning tool git responsibility work part team develop application service use agile development method contribute team organizational improvement process infrastructure build customerface ui backend service payment processing administration management code teste operate nodejs base service effectively use tool ingenuity identify fix defect become problem type fulltime walkin salary 1500000 2000000 per month software development 1 year prefer javascript 1 year preferred work remotely temporarily due covid19
ios developer,1 + year work location surat india indepth programming knowledge mobile app development strong concept object orient programming oop knowledge cocoa objectivec would add advantage hard work positive attitude ability deliver time resource constraint send cv infosoftpulseinfotechcom
devops engineer,team consumer group accountable architecturedesign developindustrialize integratedeploy engineeroperationalize sustainimprove delivery area diverse group key people locate london uk jakarta indonesia buenos air argentina look corporate web platform global commerce platform digital engagement platform consumer lifecycle platform omnichannel service b2b b2c channel also partner closely infosy mohali hyderabad india big important part family team call engineering op responsible delivery run improvement technology landscape underpin product service well provide application support management team responsible run improvement technology production environment ensure effective service operation across platform service role summary look worldclass devop engineer responsible increase flow project delivery hence reduce lead time automation software delivery lifecycle aspect eg code management code quality continuous integration software testing releasedeployment expect devop engineer live breathe customer solution technology footprint large unwieldly need consolidate manage automate simplified constant optimization huge importancethe team interact closely vendor population especially amazon web services salesforce adobe sap deliver change technology estate integrate technology vendor less mature key responsibility collaborate different technology group deliver service solution technology stack drive optimization build manage infrastructure automation development improvement continuous integration continuous delivery pipeline developer productivity increase provide tool solution enable software engineer deploy fix forward fast design implement log monitoring alert solution increase system visibility enable fast recovery incident automate system management focus performance scalability improve utilization reduce toil ensure service solution design build adherence pmis infosec policy fully industrialize consumption customer technology group optimize system performance scalability build infrastructure eliminate work automation research development tool andor process enable delivery operation infrastructure team enable consumption feature function via selfservice design management cloud architecture guarantee high availability top performance reliability involve engineering application operation design costeffective solution service ensure value measure track realize end key delivery point drive onboarde adoption core automation tool service app participate promote devop pmi communities essential extensive deploy technology solution public cloud like amazon web service aw build run improve cicd framework eg jenkin industrialize daytoday operation strong programming skill java andor python containerisation preferably docker k8s develop microservice aw demonstrable integrate industrialize technology platform saas paas iaas global scale reduce operational process waste demonstrate history automate operation process eg rpa dns content distribution network akamai highly desirable implementation identity access management iam single signon sso excellent configuration management via puppet chef ansible other write automatic test adapt code base well testability strong ability enthusiasm learn new technology short period time seek selfstarter visionary person leadership capability demonstrable understand security networking principle cloudnative environment work within appreciate need apply delivery methodology scrum kanban waterfall etc appropriately work deliver find new path company offer fresh perspective never stop explore discover new insight take onthejob learn another level give every opportunity develop career reach full personal potential position advance innovative technology service process back competitive salary compensation package work professional set client team member part world join global market leader sampoerna one lead tobacco company indonesia affiliate phillip morris international pmi pmi lead international tobacco company seven world top 15 brand include number one cigarette brand worldwide pmi equal opportunity employer information see wwwpmicom sampoerna subsidiary employ approximately 29600 individual diversity inclusion equal opportunity employer value diversity company discriminate basis race religion color gender sexual orientation age marital status challenge wait today lijob
php developer,must sound knowledge follow core php framework laravel codeigniter similar one javascript vue js similar one wordpress theme development use create apis html css ajax etc kindly submit recent type fulltime salary 1400000 2500000 per month schedule evening shift total work 2 year prefer
ios developer,position overview look io developer responsible design development high volume end user product aim range io device primary focus development io application ship projectmodule commitment collaborative problem solve high quality code passion technology essential responsibility design build application io platform use swift rx swift objectivec gradually take responsibility big impact take challenging task mentor other lead module manage team module endtoend provide sandbox experiment trust work issue deliver stay uptodate technical trend part rsls learn culture give tech talk 35 + year development objectivec swift rx swift io framework core datum core animation etc understanding apple design principle interface guideline knowledge io ecosystem librarie available common task selfmotivate eager learn strong logical reasoning passion quality perk core handson development work live project great compensation package bonus directly tie performance lay back culture dress code free daily catered lunch free medical life insurance join we work culture work friendly cool environment politic always try keep away sort politic learn grow opportunity work senior expert live project help anybody grow opportunity work technology startup idea scratch bangalore indias silicon valley work anywhere really least care work location
ios developer,opening position ios developer swift bachelor master degree information technology computer science equivalent 13 year work swift development role look ios swift developer responsible development maintenance application aim vast number diverse io device primary focus development io application integration backend service work alongside engineer developer work different layer infrastructure therefore commitment collaborative problem solve sophisticated design create quality product essential key responsibility design build application io use swift ensure performance quality responsiveness application collaborate team define design ship new feature identify correct bottleneck fix bug help maintain code quality organization automatization key proficient swift good knowledge ecosystem solid understanding objectoriented programming cocoa apis os x good knowledge performance limit characteristic knowledge memory management multithreade embed database system datastore familiarity restful apis connect backend service good sense ui design useroriented focus knowledge lowlevel cbase library plus implementation automate testing platform unit test knack benchmarke optimization understand apple design principle interface guideline proficient understanding code versioning tool git familiarity continuous integration interested send we along github linkedin profile vinaydahiyahappilyunmarriedcom
ios developer,someone scrappy entrepreneurial attitude want solve real world challenge eat breathe sleep code enjoy find elegant solution difficult bug join we work global company strive high quality optimize code part rockstar squad build cuttingedge product io developer actively involve phase application development key responsibility develop release maintain optimize native io application oversee mobile application development effort work directly developer product manager conceptualise build test realise product continuously discover evaluate implement new technology maximise development efficiency stay update late industry trend mobile technology understand market participate product roadmap discussion requirement extensive develop mobile app use io sdk proficiency swift objective c modern design pattern expertise swift solid ood principle modern design pattern like mvvm viper clean well verse storyboard auto layout size class ui design offline datum management use coredata realm sqlite hand rxswift reactive paradigm strong fundamental competency algorithm datum structure well good grasp memory management well manage compute effectively saas platform mobile development analytic push notification cloud storage ad network etc handson io debug unitteste memory performance optimization tool well automate manual testing platform capability work independently fastpace environment good communication people currently hire software developer 24 yrs sr software developer 47 yrs ios team lead 6 + yrs
ios developer,title senior ios developer outsource company work client base around world look io developer responsible development maintenance application aim range io device primary focus development ios application integration backend service work alongside engineer developer work different layer infrastructure therefore commitment collaborative problem solve sophisticated design creation quality product essential responsibility development delivery maintenance mobile application io device design build application io platform use swift rx swift objectivec improve code quality maintainability stay uptodate new technology development approach ensure performance quality responsiveness application ensure mobile platform safe secure compatible late device io version provide support development mobile project devise solution maintainable scalable identify diagnose resolve production issue identify opportunity process tool improvement perform implementation communicate client around technical issue capabilitieslimitation io brainstorm contribute new idea conceive innovative strategiesidentify correct bottleneck fix bug require minimum 5 year ios application development development objectivec swift rx swift io framework core datum core animation etc understanding apple design principle interface guideline knowledge io ecosystem librarie available common task solid understand full mobile development lifecycleexperience web service api integration rest json similar excellent understanding code versioning tool git network communication mobile platform make synchronous asynchronous web service call must develop app use swift objective c interoperability release ios app app store understanding apple design principle interface guideline work knowledge web service rest json apis sqlite google api integration firebase familiarity cloud message apis push notification type parttime salary 7500000 10000000 per month schedule day shift evening shift total work 5 year require io 5 year require education bachelor require programming language need objectivec preferred swift prefer work remotely yes
ios developer,description description minimum 3 year ios swift programming strong knowledge xcode objective c swift programming language able work closely business development team primary ios swift programming strong knowledge xcode objective c swift programming language secondary good communication skill api cloud message 0005000 year
software engineer,team amazon go new kind store line checkout simply use amazon go app enter store take want selection fresh delicious meal grocery essential go checkoutfree shopping make possible walk technology automatically detect product take return shelf keep track virtual cart you re do shopping leave store shortly well charge amazon account send receipt check amazoncomgo design custombuilt amazonian technology use computer vision sensor fusion advanced machine learn innovation part dna look people want join ambitious team continue push state art computer vision machine learning distribute system hardware design role software development engineer physical store tech organization work require solve challenging problem global scale develop new functionality across broad swath amazon service business you ll opportunity dive deep technology power amazon physical store program adapt creative solution new problem comfortable building prototype challenge assumption also develop fault tolerance scale basic qualification bs computer science relate technical field lieu degree 4 year relevant work proficient least one java c++ python least 3 year key member engineering team participate complete product development lifecycle successfully launch application strong example demonstrate past work deliverable andor innovation across broad range method preferred qualification work startup mode building product service ground aw cloud service build machine learningdeep learning servicessystem evidence work exist system curious able learn new codebase able deliver result crossfunctional team make highquality contribution system library create extensible wellabstracte design drive consensus engineer amazon commit diverse inclusive workplace amazon equal opportunity employer discriminate basis race national origin gender gender identity sexual orientation protect veteran status disability age legally protect status individual disability would like request accommodation please visit httpswwwamazonjobsendisabilityus wbupssde3 wbupsf3sde3 pssde3 psf3sde3
software engineer,neustar information service technology company leader identity resolution provide datum technology enable trust connection company people moment matter information available httpswwwhomeneustar requisition r3165 software engineer test ii open primary location bangalore description company build foundation privacy design 20 year neustar unique capability make we leader field responsible identity resolution neustar enable trust connection company people moment matter worldclass industry lead solution marketing risk communication security registry service look test engineer product portfolio trust call solution group neustar pioneer emerge secure telephony stirshaken technology build world class infrastructure micro service model support tier1tier2 customer area support whole stack stirshaken solution also offer supplementary service top infrastructure support neustar caller i d platform 90 we market look test engineer domain work sip telephony restful service along solid automation duty 1 setup infrastructure cloud local network end end solution secure telephony 10 2 identify various test casesscenario base product requirement rest sip interface ensure proper qa policy testing coverage apply assign project task 20 3 interaction various team requirement analysis design discussion implementation testing write user story task sprint coordinate effort communication developer team member ensure resolution defect managetriage defect bug track system10 4 automate test case use industry standard tool sip rest interface drive automation initiative include white box script functional automation project 20 5 execute test case new release consult various cross department team member review troubleshoot production issue 20 6 identify scenario various custom implementation verify scenario ensure product meet exceed quality standard apply knowledge quality assurance standard procedure 10 7 setup jenkins cicd orchestration base docker image various component 10 8 prepare detailed test report qualificationseducation bachelor bs master ms degree computer science relate field 6 + year recent software development andor software test automation well verse sip telephony concept secure telephony stirshaken huge plus working testing restful service various standard tool must proficient linuxunix environment good test automation use industry standard tool rest api sip telephony well verse devop orchestration model eg ansible docker cicd jenkins etc work cloud infrastructure plus understand entire quality assurance process include defect submission standard test case test plan documentation strong technical analytical relate software quality assurance excellent verbal write communication scrum team member expose test drive development tdd selfmotivate able thrive resultsdriven environment high energy wellorganize team player neustar commit growth development employee whose individual curiosity passion work contribute overall success business core value accountability collaboration transparency resilience respect drive force culture across location around globe offer employee comprehensive benefit package include perk tuition reimbursement awesome company discount backup day care community service event pet baby swag much learn create together major fun along way join we can not wait meet neustar accept unsolicite resume external firm agency neustar responsible placement fee associate unsolicited resume diversity diversity inclusion teamwork second nature neustar value permeate entire business structure neustar commit create environment wide spectrum opinion belief actively seek listen respected talented workforce draw many geographic area market neustar operate worldwide represent distinct competitive advantage rich varied personal professional background employee make neustar dynamic rewarding company build career invite join we eoe minoritiesfemalesvetsdisability neustar inc consider applicant employment without regard race color religion sex national origin age disability sexual orientation status vietnamera special disabled veteran accordance federal law state local requirement neustar inc complies applicable state local law prohibit discrimination employment provide reasonable accommodation qualified individual disability accordance american disabilities act ada applicable state local law
java developer,look make career change stable company exciting opportunity offer competitive salary plus excellent benefit package include medical insurance dental insurance vision insurance 401k pay pto position match future career goal opportunity could right fit hybris developer location chicago il responsibility subject matter expert hybris jsp java developer responsible software design development implementation hybris application integration various module sap responsible develop digital consumer experience base foundation hybris responsible setup maintain hybris development environment responsible setup maintain hybris datahub responsible develop deploy custom cms component independently interface business owner need design implementation responsible mentor junior team member ensure software develop adhere good practice quality standard code design review qualification atleast 3 year use hybris least two project must legally authorize work we without sponsorship atleast 5 year full life cycle ecommerce implementation involve java sdlc methodology master degree computer science prefer mastery j2ee spring framework eclipse ant good understanding objectoriented programming relational database proficient hybris ecommerce suite sap hybris integration use datahub webservice search engine like solr develop new extension hybris support different ecommerce functionality create uis use htmlcssjavascriptjquery proficient hybris task management personalization security concept b2b b2c business scenario benefit medical insurance dental insurance vision insurance i d 8746 ask aarti manchanda ajulia executive search new jersey base executive search firm specialize retain search multiple sector include manufacture finance legal pharmaceutical nationwide client base offer service temporary direct hire placement question q1 degree accredit university q2 3 year use hybris least two project q3 8 year full life cycle ecommerce implementation involve java sdlc q4 proficient proficient hybris ecommerce suite q5 salary expectation q6 legally authorize work we without sponsorship type fulltime pay 7259500 13669800 per year schedule 8 hour shift software development 1 year preferred education master prefer work authorization united states prefer benefit health insurance
java developer,position software developer passion produce simple complex efficient code provide flexibility reusability ease implementation ideal understanding winform webservice sql database individual good communication work well other partnering team member subjectmatter expert deliver solution individual must also able accurately forecast effort require develop implement deliver time necessary trait include creativity ability multitask strong desire acquire expertise flexibility cando solutionoriente attitude must responsibility participate full software development life cycle bug fix enhancement exist application use c mssql develop tool utility use c mssql test peer review code technical accuracy standard functional compliance design demonstrate excellent write verbal communication good visual design sense understand usability principle willingness learn understand user workflow display great attitude ability thrive fastpace high pressure agile environment work independently tandem development team member various background manage multiple priority project take initiative solve problem creatively positively provide technical assistance training department require learn new technology benefit team product company technical qualification develop objectoriented software net c winform webservice andnet framework 20 great proficiency idebase development especially visual studio 2017 microsoft sql server ability write complex database query understand database performance work source code management suit proficiency building unit test strong analytical problemsolve strong write verbal communication bachelor degree computer science equivalent minimum 2 year software development additional technologyexperience consider plus pharmacy health care field git svn linux installshield bamboo jenkins internet information server iis crystal report keycentrix keycentrix software technology company base wichita kansas 40 year provide powerful affordable software help independent retail mailorder pharmacy thrive also provide bestinclass software solution specialty pharmacy newleaf software allow pharmacy run well smarter fast maintain hightouch care community patient serve learn full range software service keycentrixcom proud announce recently prestigious 2019 surescript white coat award eprescriptions accuracy httpswwwpharmacytimescomnewskeycentrixwinssurescripts2019whitecoatawardforprescriptionaccuracy keycentrix member cochener garvey capital partners inc family business wwwcgcpicom keycentrix commit provide equal opportunity employment people without regard follow race color religion age gender sexual orientation marital status gender identity national origin physical mental disability service military attribute characteristic protect law type fulltime benefit 401k 401k match dental insurance disability insurance flexible spending account health insurance life insurance pay time vision insurance schedule monday friday relevant 2 year require education bachelors prefer location wichita ks require work authorization united states require work location one location
javascript developer,company description blueoptima blueoptima provide industryleade objective metric software development use proprietary code effort analytic enable large organisation deliver well software fast low cost found 2006 blueoptima profitable highgrowth independent software company unique technology initially devise seminal research carry cambridge university hq london uk 5 additional global office india mexico us blueoptimas technology deploy global enterprise drive value software development activity work 12 fortune 50 company 4 top 10 big bank market capital 6 sp 50 company revenue technology push limit complex analytic large dataset 15 billion static source code metric observation software engineer working enterprise software development environment description project brief identify security flaw eyeball static cc++javascript code replicate manually morphingeditingrewrite code role understand security space able understand cwe cf cpe ability run penetration test static analyser advanced programming ability multiple language needless say immaculate english communication write verbal automation bounty strongly believe smart engineer lazy thus find way automate manual task effectively encourage creative come automatedsemiautomate approach tag vulnerability accurately developer reduce project time manual effort maximum keeping accuracy intact going reward handsomely note bounty program subject minimum threshold overall project time manual effort reduce minimum 50 eligible prize programming language scope c c++ javascript qualification null additional information location remote freelance role please do not look fulltime employment
php developer,kochi urgent requirement phplaravel developer repute company kochi gender malefemale age 22 36 location kochi minimum 1 year php 1 year laravel 1 year angularjs responsibilitie good query skill mysql write unit test plus experience use git work apis development integration thirdparty apis strong knowledge objectoriented concept mvc architecture php language client side framework like angular plus eligible candidate request e mail follow document soon possible processing 1 8 year salary 1 lac 75 thousand 5 lac pa industry software mobile technology qualification bca bsc btechbe mca msc mtech key php php development php programming
software engineer,primary responsibility knowledge algorithm principle technique solve technical problem write time space efficient code language like javaj2ee net vc++ solvedevelop complex problem
software engineer,amazon digital platform team develop innovative new product service like kindle digital platform team create backbone support customer digital content ownership information look software engineer passionate customer concept make customer live easy enormous opportunity make large impact design architecture implementation cut edge product use every day million customer look passionate hardworke talented engineer build innovative mission critical high volume service customer love responsibility responsible development maintenance key system feature work team member investigate design approach prototype new technology evaluate technical feasibility work agilescrum environment deliver high quality software aggressive schedule develop cloud software service understand design scalability performance reliability development define develop maintain rest base interface plus basic qualification 2 + year noninternship professional software development programming least one modern language java c++ c include objectoriented design 1 + year contribute architecture design architecture design pattern reliability scale new current system solid ground computer science fundamental base bs ms cs relate field tool trade include variety modern programming language java javascript cc++ objective c python opensource technologies linux sqlite opengl spring hibernate backend server programming prefer qualification passion develop engage customer user experience ability rapidly prototype evaluate customer use case interaction methodology work backend system high availability system able work well within agile development methodology keyword deviceswiot amazon equal opportunityaffirmative action employer minority female disability veteran gender identity sexual orientation
java developer,basic qualification bachelor degree software engineering relate technical field require equivalent plus minimum 5 year relevant masters degree plus minimum 3 year relevant agile prefer bthin facility us citizenship require responsibility position perk position eligible signon bonus 20000 new hire employee referral program offer 20k referral bonus refer employee hire position relocation package may available position ready leader company commit push limit truly advanced technology general dynamic mission system create product service help service member intelligence analyst first responder keep nation safe work advance often classify want put talent spotlight wait right right advanced technology artificial intelligence blockchain arvr cloud native quantum physics solve customer mission cyber rf undersea interstellar space everything full stack java developer you ll perform software requirement analysis system integration activity research design develop test software tool invent new product enhance exist application talent front center basic qualification minimum 6 year software engineer develop enhance software system minimum 3 year develop objectoriented software application java version 18 high minimum 2 year web development angular 2 + reactjs minimum 2 year mongodb relational database familiarity java framework ie spring spring datum spring boot you ll technology be not topnotch they re often topsecret team bold thinker commit explore what s next opportunity gain new knowledge discover bring table bachelor software engineering relate technical field minimum 5 year relevant master degree minimum 3 year relevant agile preferred proficient understanding software engineering concept principle theory proficient apply technical standard methodology resolve issue creative way help company meet financial business objective set apart proficient knowledge technology trend ability champion new idea product process improvement ability resolve significant diverse problem issue broad scope complexity creative thinking ability effectively multitask cj3 company overview general dynamic mission systems gdms engineer diverse portfolio high technology solution product service enable customer successfully execute mission across domain operation global team 12000 + top professional partner good industry expand bound innovation defense scientific arena give nature work value trust honesty alignment transparency offer highly competitive benefit pride great place work share sense purpose also enjoy flexible work environment contribution recognize reward resonate invite join high performance team general dynamic equal opportunityaffirmative action employer commit hire diverse talented workforce eoedisabilityveteran
