Job_title,cleaned_job
database administrator,richardsontexasunite state bausp4 boeing company currently seek database administrator join richardson texas location responsibility include limited follow partner customer gather document requirement produce product specify customer must able work across diverse team software system engineer training development specialist software technician security specialist dynamic highpaced environment must able successfully develop plan establish database performance baseline monitor performance trend identify correct problem customize exist application life project must able assure curriculum integrity security configuration management version control must able collaborate architect technical specialist identify proper hardware software upgrade implementation must able plan install test software upgrade patch must implement database security infrastructure manage user account must work closely project manager database programmer multimedia program develop implement customer learn management system business system development environment must prepare database documentation include standard procedure definition deliverable data dictionary metadata boeing world large aerospace company lead manufacturer commercial airplane defense space security system engineer technician skilled scientist thinker bold innovator dreamer join u build something well customer world typical educationexperience technical bachelor degree typically 9 year relate work master degree typically 7 year phd degree typically 4 year relate work equivalent combination education technical degree define four year degree great mathematic scientific information technology field study basic qualification require position require active ability obtain we security clearance u government require u citizenship position require active top secret clearance security clearancespecial program access government access requirement mandatory position much work boeing company classify nature many position require security clearance grant discretion government authority applicant must current top secret security clearance additionally applicant must able obtain program access security clearance upgrade andor program access request initiate applicant acceptance contingent offer fill requisition contingent base applicant ability obtain require program access time frame establish program management relocation dallas texas authorize appropriate access grant must advance sqloracle database design administration knowledge able write script query system generate customer report desire qualification knowledge ibm rational clearcase bnh advisor enterprise yes 10 time commercial derivative aircraft individual contributor standard united state boeing company
machine learning,remote 2 4 year 8l 12l yr esop available tensorflow opencv python artificial neural network ann deep learn image processing pytorch amazon web services aw cloud compute computer vision description clearquote app help assess damage car base imagesvideos use insurer mobility provider workshop what s offer opportunity lead development global tech product competitive pay stock option role 1 work identify implement preprocesse various dataset image video 2 identify testing right technique deeplearning library use train model infer part degree damage test datum 3 deploy training inference model cloud edge require 4 work improve accuracy detection 5 base ability lead rest computer vision engineering team requirement 1experience deep learning use convolutional neural network 2sound knowledge object detectionsemantic segmentationinstance segmentationfasterrcnnsingle shoot multibox detectorssdmask rcnnmobilenet 3classic image processing technique use opencv 4proficiency python 5should comfortable building ml model various deep learn machine learning library use tensorflowkerasscikitlearnnumpyetc 6familiarity amazon web service elastic cloud computeec2amazon sagemaker deployment 7must work image processing computer vision area exposure machine learn deep learning area bonus 8 working pytorch prefer 9 strong basic machine learn computer vision 10 prior implement research paper production model 11 startup environment prefer
machine learning,excite big data machine learn predictive software interested create new stateoftheart solution use machine learn datum mining technique terabyte data amazon develop stateoftheart largescale machine learn service application cloud involve terabyte datum work apply predictive technology wide spectrum problem area amazon retail seller service customer service alexa chatbot look talente experienced machine learn scientist mastersphd relate area prefer innovative machine learn technique realworld ecommerce problem get work team dedicate advance machine learn technology amazon convert businessimpacting solution major responsibility use machine learn datum mining statistical technique create new scalable solution business problem analyze extract relevant information large amount amazon historical business datum help automate optimize key process design develop evaluate highly innovative model predictive learning establish scalable efficient automate process large scale datum analyse model development model validation model implementation research implement novel machine learn statistical approach basic qualification master andor phd computer science machine learn operational research statistic highly quantitative field predictive modelling analysis predictive software development strong problemsolving ability good javascala c++ perlpython similar scripting language use r matlab statistical software strong communication datum presentation prefer qualification handle gigabyte terabyte size dataset work distribute system grid compute knowledge late state art ml technology publication presentation recognize machine learn datum mining journalsconference
software engineer,member software engineering group dive headfirst create innovative solution advance business career you ll join inspire curious team technologist dedicate improve design analytic development code testing application programming goes create high quality software new product you ll task keep team key stakeholder speed progress what s develop come understand importance endtoend software developmentsuch agile frameworksis key good you ll work share idea information innovation global team technologist world jpmorgan chase co equal opportunity employer affirmative action employer disabilityveteran role require wide variety strength capability include advanced knowledge application datum infrastructure architecture discipline understand architecture design across system work proficiency developmental toolset ability collaborate highperforming team individual throughout firm accomplish common goal proficiency one general purpose programming language understand software business analysis development maintenance software improvement corporate technology corporate technology ct organization develop application provide technology support corporate function across jpmorgan chase include global finance corporate treasury risk management human resource compliance legal function within corporate administrative office cao ct team align corporate partner evolve technology need firm ever expand technology control agenda top ct priority purposebuilde scalable corporate system team focus respond evolve regulatory environment help meet firm regulatory commitment address internal external commitment advance firm roadmap programs single source datum architecture convergence rationalization application portfolio platform adopt industry lead technology support bestinclass business capability high performance compute data storage solution drive innovation across firm corporate technology portfolio increase efficiency process automation agile application development emphasis user short development cycle invest security control cyber accessentitlement uplift datum protection application resiliency control operational risk technology support identification assessment prioritization risk follow coordinated application resource minimize monitor control probability andor impact event tech jpmc work jpmorgan chase co you re work global financial institution you re integral part one world big tech company 14 technology hub worldwide team 40000 + technologist design build deploy everything enterprise technology initiative big datum mobile solution well innovation electronic payment cybersecurity machine learn cloud development 95b+ annual investment technology enable we hire people create innovative solution transform financial service industry also change world key responsibility design development key functionality within application carry design reviewscode review agree point throughout project life cycle work closely vendor development team monitor designdevelopment undertake hand design development technical artifact participate technical review defineimprove process configuration management deployment resiliency planning application qualification internal competency essential html5 css 30 bootstrap angular 8x+ javascript jquery comparable language proficient angular framework hand angular 8 + version proficient unit test jasmine protractor knowledge use build restful service proficient java hand java 8 + version exposure microservice pattern must test tool jasmine karma protractor version control git strong understanding design principle design pattern must able set standard define template etc promote reusability establish standard ability mentor team collaborate distribute team must must eye pixel perfection attention detail along strong hand interact ux designer product owner produce quick prototype seek feedback must able work fast pace environment able adapt change requirement agile must conduct testing complete application website software assess user automate manual progressionregression exploratory testing deployment validation support test management defect management reportingtracke expertise jenkins cicd selenium essential 5 8 year work exposure technology development project full technology development lifecycle excellent communication interpersonal business customer fellow professional business analyst project manager developer strong problemsolving delivery focus approach work ability work without direction ability multitask ability work deadline ability work effectively collaborative environment create topperforme interface closing statement jpmorgan chase co value unique every employee building technology organization thrive diversity encourage professional growth career development offer competitive benefit compensation you re look build career part global technology team tackle big challenge impact live people company around world want meet youjpmorgan chase co one old financial institution offer innovative financial solution million consumer small business many world prominent corporate institutional government client jp morgan chase brand history span 200 year today leader investment banking consumer small business banking commercial banking financial transaction process asset management recognize people strength diverse talent bring global workforce directly link success equal opportunity employer place high value diversity inclusion company discriminate basis protect attribute include race religion color national origin gender sexual orientation gender identity gender expression age marital veteran status pregnancy disability basis protect applicable law accordance applicable law make reasonable accommodation applicant employee religious practice belief well mental health physical disability need
software engineer,description title software engineer summary software engineer responsible design code andor configure solution moderate complexity agile story well write automate unit integrationlevel test essential functionsresponsibilitie design code andor configure solution moderate complexity agile story guidance senior software engineer debug resolve moderate complexity software bug issue work independently find real root cause provide fix without collateral damage write automate unit integrationlevel test direction may create support creation conceptual designarchitecture small scale software solution guidance architect senior developer may provide guidance mentor junior software engineer follow development standard effectively demonstrate technical solution software engineer code review assist make source code management decision one team perform source code management task without specific guidance require team member perform related duty activity require develop cloud environment like azure google aw plus please note description design cover contain comprehensive listing activity duty responsibility require employee duty responsibility activity may change time without notice qualificationsrequirement education work bachelors degree high education level foreign equivalent computer science computer information science andor related field total work 6 + year software development 4 year minimum product 2 year minimum 4 + year preferred domain 2 year minimum 4 + year prefer specialized knowledge andor ability expert objectoriented design java net development relational oltp query relational database design capable xmlxslt document design javascript development html5 css ability manage deadline communicate team operate independently guidance understand estimate analyze software product development lifecycle agile methodology requirement work authorization legally authorize work country location physical exert 10 pound force occasionally andor negligible amount force frequently constantly lift carry push pull otherwise move object include human body sedentary work involve sit time job sedentary walk stand require occasionally sedentary criterion meet
java developer,overview western national seek highly collaborative influential frontend developer join team develop exceptional experience exceptional opportunity offer someone chance contribute highly impactful organizational initiative transform customer interact company ideal 5 + year software development strong modern javascript es6 + node would ideally vue similar web framework high preference java come join team opportunity grow part something truly transformative responsibility work agile environment team collaborate business partner implement new feature mentor jr level team member estimate effort assist prioritization business feature request identify resolve software application issue prepare technical design specification flow chart data flow diagram develop execute unit test implement software solution base business requirement identify implement process enhancement automation regular interaction business partner across organization occasional interaction external vendor qualification 5 + year software development proficient modern javascript es6 + node strong html5 css3 scss moderate strong vue similar web framework react angular moderate strong develop consume rest web service moderate strong develop java helpful javascript test framework jest mocha etc build tool npm webpack version control svn git dev op andor continuous integration ci tool jenkin useful agile environment strong verbal write communication strong analytical problemsolving bs degree computer science equivalent western national insurance grow a+ rate good group propertyandcasualty insurance company serve individual family businesse 20 state across midwestern western us plus alaska currently rank 57th large private company revenue minnesota minneapolisst paul business journal western national consistently earn accolade employer choice include star tribune top workplace 2011 2016 previously recipient minnesota business ethics award minnesota business magazine top 100 workplace principal financial 10 good company finalist alfred p sloan work works award western national know relationship company care employee key part relationship commitment western national offer competitive pay advancement opportunity generous benefit package robust wellbeing program healthy worklife balance include three week pay time nine pay holiday eight hour pay volunteer time start point new employee attribute reason nearly half employee choose stay western national team 10 year benefit package include 401k company match medical insurance offer affordable thank strong employer subsidy aboveaverage coverage choice either traditional preferred provider organization ppo option highdeductible health plan hdhp option western wellbeing program include onsite massage yoga class salad healthy snack day sitstand workstation nutrition seminar 100 companypaid tuition reimbursement approve jobrelevant coursework discount automobile homeowner insurance standard employee benefit include dental insurance vision benefit life insurance disability insurance could continue list thing think make western national great place work hear instead actual current former employee quote western national employee post glassdoor public review site excellent company prioritize customer service community service great place come work stay career love personal touch executive suite ceo firstname basis everyone aboveaverage benefit especially health insurance front feel welcome feel like senior management care review current former western national employee visit company glassdoor page httpbitly2qxtl4a western national equal opportunity employer qualify applicant receive consideration employment
wordpress developer,25 year location aurangabadpune vacancie 02 note fresher description look experienced developer passionate work software development company basic requirement prior work wordpress proficient verbally write communication capable writing efficient code use good software development good code practice able integrate datum various backend service database able integrate external application erpcrm capable work payment gateway integration multiple platform adequate knowledge relational database system object orient programming hand require upon web application include security session management capable self upgrading upon emerge new technology operation activity able deliver project deadline able work multiple framework zend etc would add advantage responsibility duty able manage handle multiple project manage project independently manage client able handle team deliver project deadline require qualification wordpress pluginin development php htmlhtml5 javascriptjquery bootstrap mysql qualification ug bsc cscscit bca bcs btech cscseit msc cscscit mca mcs mtech cscseit
ios developer,code id190704 description 1 2 year io development native ios development hybrid app development phonegap ionic titanium advantage database knowledge must understand requirement gather client interaction good communication qualification computer information technology mca bca bsc computer science location margao goa
database administrator,description summary highly skilled technical role ultimate responsibility support hpe oracle database environment provide technical expertise design building tune instal configuring troubleshooting database middleware technology provide technical leadership large complex database build migration effort work closely engineer architect project program manager define design strategy well datum management infrastructure process role responsible develop documenting maintain logical physical database model ensure design comply standard guideline procedure research analyze impact propose change ensure corporate datum effectively implement manage secured provide consult support application development team well dba complex integrate system include distribute solution provide analysis guidance migration consolidation effort description position provide support architecture planning installation monitor configuration administration test evaluate troubleshoot oracle database instance collaborate application infrastructure team adherence good practice process standardization key responsibility position monitor ensure high availability environment quickly respond diagnose problem utilize leverage new feature underlie technology work closely enterprise database manager another area responsibility position provide leadership role create awareness guidance application development business team migrate consolidate replatform various application oracle nosql technology work minimal supervision receive general direction enterprise database manager responsibility design backuprecovery procedure ensure validity develop archival strategy conform hpe security audit guideline develop execute appropriate delivery team model eg resource skill process management meet current project needsconstraint support implementation new release dbms software plan implement new feature appropriate mentor le experience dba application developer ensure adequate 24x7 support develop procedure deal incident perform database migration merging consolidation need participate change incident management procedure problem resolution analyze database implementation method ensure line company policy proactively monitor operation log optimize system performance use available monitoring db optimization tool additional description oracle data guard standbyfailover administration highly skilled oracle 10g11g12c database administration hand query tune performance optimization db op automation alert monitoring backup restore hand datum modeling design knowledgeable oracle rac asm administration knowledgeable plsql procedure package development manage high perform team database ability prioritize workload work effectively pressure high degree independence must versatile flexible proactive resolve technical issue ability handle diverse situation rapidly change priority deadline set database disaster recovery site plus excellent interpersonal communication skill exposure sql server nosql database technology plus education professional bachelor degree computer science information technology relate field least 10 + year hand work lead support production database previous leadership team management strong organizational time management skill communicatework effectively team environment effective meeting deadline limf1 hewlett packard enterprise eeo fmprotecte veteran individual disability hpe comply applicable law relate use arrest conviction record include san francisco fair chance ordinance similar law consider employment qualified applicant criminal history
devops engineer,summary mission style theory build sustainable model fashion consumption rely late good technology build app service ensure woman style theory intimate relationship infinite wardrobe also constantly improve app service series iteration constantly listen feedback woman style theory well idea brainstorm help achieve mission help achieve even fast look experienced senior devop engineer continue design handson implement cloudbase microservice infrastructure ideally would support large scale highly critical application task design develop improve nextgeneration infrastructure migrating application new infrastructure proper architecture design work closely dev qa team resolve automate production issue also provide rostere oncall support responsibility deploy automate maintain manage cloudbase production system ensure availability performance scalability security production system aws gcp build release configuration management production system system troubleshoot problemsolve across platform application domain suggest architecture improvement recommend process improvement hand critical part development testing deployment production automation tool ensure everything build accord good practice carry oncall duty part critical team handle cloud infrastructure performance availability mentor engineer define technical culture help build fastgrowing team requirement least 3 year similar role design operation maintenance robust largescale distribute system linux environment good understand practical configuration management eg ansible chef puppet infrastructure code terraform automation simple shellpython script complex software engineering solution strong background either aws gcp must problemsolving ability analyze resolve complex infrastructure issue use monitoring tool datadog prometheus grafana kubernete must eks gke openshift strong use cicd tool jenkins gitlab ci etc java base integration tool groovy would great know implement jenkins configuration ci pipeline via code etc bash go python js highly accountable take ownership outstanding work ethic highintegrity team player lifelong learner nice experienced data engineering service like lake formation glue athena redshift sagemaker kinese kafka bigquery etc experience sql nosql database like dynamodb rd postgresql elasticsearch mongodb etc
database administrator,country place mortgage found 1995 subsidiary cavco industry inc national lender provide wide variety financing option purchaser manufacture home cavco industry inc wa found 1965 fast grow publicly trade company disrupt manufacture home industry headquarter phoenix arizona cavco lead designer builder manufacture home modular home commercial building park model rv vacation cabin company insurance group standard casualty offer wide range insurance product manufacture home owner country place mortgage seller servicer mortgage fannie mae freddie mac fha authorize lender ginnie mae mortgagebacke security issuer employee big asset play integral role meeting need customer come part team offer many opportunity utilize talent atmosphere support encourage realize full potential come share help people realize dream opportunity home come share story part build something amazing country place mortgage currently look database administrator work office locate addison tx responsible designing building administer maintain oracle database must able perform daily administration database system prevent outage plan optimize system resource utilization position contribute architectural direction provide expertise design performance database structure assist database performance tune database capacity issue replication distribute datum issue strong understand sql standard diagnostic performance tuning must responsibility build support oracle database linux base system perform evaluation modification integration function associate vendor supply database software ensure business continuity develop implement highly available database system database recovery plan procedure serve resource le experienced team member escalate issue routine nature support oracle database weblogic qualification bachelor degree comparable industry 2 + year oracle database database support iaa paas prefer indepth understand database tool utility well highly develop sql database performance tune skill knowledge computer hardware sanna network verbal write communication skill problem solve skill customer service interpersonal skill ability work independently manage one time loan originationservice support helpful mandatory cavco industry commit provide equal employment opportunity without regard race color religion sex sexual orientation gender identity national origin age disability protect status respect recruitment hire promotion term condition employment disclaimer statement intend describe general nature level work perform associate assign classification construe exhaustive list responsibility duty skill require personnel classified personnel may require perform duty outside normal responsibility time time need
wordpress developer,position wordpress developer location prahladnagar ahmedabad 4 8 year work timing 1000 700 pm working day alt sit wordpress developer responsibility meet client discuss website design function design building website frontend create website architecture design manage website backend include database server integration generate wordpress theme plugin conduct website performance test troubleshoot content issue conduct wordpress training client monitoring performance live website wordpress developer requirement bachelors degree computer science similar field prove work wordpress developer knowledge frontend technology include css3 javascript html5 jquery knowledge code versioning tool include git mercurial svn work debug tool chrome inspector firebug good understanding website architecture aesthetic ability project manage good communication type fulltime salary 2500000 7000000 per month schedule day shift wordpress 1 year prefer work 1 year preferred total work 1 year preferred education bachelor prefer work remotely
javascript developer,monetizemore build industry lead ad technology see 300 m people per month company run 8 year achieve consistent double digit growth year team 100 + team member spread across globe monetizemore offer location schedule freedom every one team member mean would lifestyle autonomy choose work anywhere world time day prefer newage work lifestyle would enable engineer ideal lifestyle say goodbye endless commute stuffy business attire arbitrary 9 5 work day take life back hand join monetizemore team product team fast innovative team company build greenfield technology disrupt ad technology industry solve problem never solve join company culture replace constant meeting interruption innovation continue break boundary take skillset next level good mind ad technology industry make real difference monetizemore responsibility daytoday work monetizemore web developer include develop feature product use javascript pythonflask postgresql linux docker git cloud service new technology build javascript application capable tracking respond billion request per month develop apis integrate 3rd party apis automate manual task implement ui facilitate thirdparty reporting streamline ad operation integration service maximize ad revenue maintain strong user planning prototype new application defect resolution exist new issue unit test new feature ensure conform monetizemore quality standard meet requirement code review run performance benchmarke test stay date new trend advancement web development ad tech attend daily standup meeting 15 min scrum meeting every 3 week attribute monetizemore web developer attribute include teamwork attribute collaboration work remotely complex project necessitate work together team share knowledge communication comfortable communicate english level strong speak write communication active listener teamwork value team synergy excited help team succeed interpersonal able get along work well coordinate other conflict management team proactive deal conflict able find constructive way resolve issue team member technical attribute technology monetizemore developer proficient stage web development conception deployment oneperson army ready willing attack technical challenge crosse path analytical problem solve work hard understand technical issue resolve effective manner detail orientation work many part application system time able focus detail meticulously initiative work well team little supervision making wellreasone effective technical decision reliability responsibility demonstrate reliability time give reasonable expectation within agile scrum framework work hard smart achieve surpass expectation communicate go meet commitment think leadership analyze monetizemore tech stack system process goal iterate regular basis look opportunity improve increase value monetizemore suggest team think good fit join monetizemore product team please give specific reason set apart hire individual robot do not afraid show little personality power jazzhr xc69vhwazd
